カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ｵｰﾙﾄﾞ･ﾊﾟﾙ,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
ｵｰﾙﾄﾞﾌｧｯｼｮﾝﾄﾞ,E,後,G,0,0,0,0,1,0,1,0,0,0,0,1
ﾆｭｰﾖｰｸ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾐﾝﾄ･ｼﾞｭﾚｯﾌﾟ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾏｲｱﾐ･ﾋﾞｰﾁ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾏﾝﾊｯﾀﾝ,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
ｷﾝｸﾞｽ･ﾊﾞﾚｲ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ｱｲﾘｯｼｭ･ｺｰﾋｰ,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ﾊﾝﾀｰ,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
ﾎｯﾄ･ｳｲｽｷｰ･ﾄﾃﾞｨｰ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾎｰﾙ･ｲﾝ･ﾜﾝ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾊｲﾎﾞｰﾙ,C,後,G,0,0,1,0,0,0,1,0,0,0,0,1
ｺﾞｯﾄﾌｧｻﾞｰ,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ﾌﾚﾝﾁ95,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾄﾞﾗｲ･ﾏﾝﾊｯﾀﾝ,E,前,M,0,0,0,0,1,1,0,0,0,1,0,0
ｶﾙﾌｫﾙﾆｱ･ﾚﾓﾈｰﾄﾞ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾌﾞﾙｯｸﾘﾝ,D,全,M,0,0,0,1,0,0,0,1,0,1,0,0
ﾊﾞｰﾎﾞﾈﾗ,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
ﾊﾞｰﾄﾞ,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
ﾊﾞﾅﾅ･ﾊﾞｰﾄﾞ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾌﾞﾗｯｸ･ﾍﾞﾙﾓｯﾄ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｲｴﾛｰｻﾝｾｯﾄ,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
ｼｬﾝﾃﾞｰ･ｶﾞﾌ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾚｯﾄ･ｱｲ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾊﾟﾅｼｪ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾐﾝﾄ･ﾋﾞｱ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾒｷｼｶﾝ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾊｰﾌ･ｱﾝﾄﾞ･ﾊｰﾌ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾌﾞﾗｯｸ･ｱﾝﾄﾞ･ﾎﾜｲﾄ,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
ﾌﾞﾗｯｸ･ﾍﾞﾙﾍﾞｯﾄ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾋﾞﾀｰ･ｵﾚﾝｼﾞ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾋﾞｱ･ｽﾌﾟﾘｯﾂｧｰ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾋﾞｱ･ﾌｨｰﾙﾄﾞ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
